32200, Claudeville, Banco
32201, Claudeville, Residencia 1
32202, Claudeville, Universidad
32203, Claudeville, Academia de Agentes
32204, Claudeville, Oficina de Correos
32205, Claudeville, Mercado
32206, Claudeville, Taller de Trabajo
32207, Claudeville, Sala de Acuerdos
32208, Claudeville, Biblioteca
32209, Claudeville, Residencia 2
32210, Claudeville, Residencia 3
32211, Claudeville, Residencia 4
32212, Claudeville, Residencia 5
32213, Claudeville, Residencia 6
32214, Claudeville, Oficina de Gobierno
32215, Claudeville, Residencia 7
32216, Claudeville, Residencia 8
32217, Claudeville, Residencia 9
32218, Claudeville, Residencia 10
